stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding                                                                                               ,download_date
05547,Toraño,43.412281,-5.118013,2                                                                                                                    ,2026-07-10
05549,Cuevas,43.4311440,-5.0733020,2                                                                                                                  ,2026-07-10
05551,Llovio,43.4405630,-5.0555920,2                                                                                                                  ,2026-07-10
05553,Ribadesella,43.4594500,-5.0545000,2                                                                                                             ,2026-07-10
05555,Camango,43.4482100,-5.0188200,2                                                                                                                 ,2026-07-10
05557,Belmonte de Pría,43.4398000,-4.9822800,2                                                                                                        ,2026-07-10
05559,Nueva,43.440585,-4.935531,2                                                                                                                     ,2026-07-10
05561,Villahormes,43.4420099,-4.9038300,2                                                                                                             ,2026-07-10
05563,Posada,43.4248300,-4.8650000,2                                                                                                                  ,2026-07-10
05565,Balmori,43.4214700,-4.8358300,2                                                                                                                 ,2026-07-10
05567,Celorio,43.4250100,-4.8113300,2                                                                                                                 ,2026-07-10
05569,Poo,43.4242900,-4.7818900,2                                                                                                                     ,2026-07-10
05571,Llanes,43.4209400,-4.7587000,2                                                                                                                  ,2026-07-10
05573,San Roque del Acebal,43.3947300,-4.7301300,2                                                                                                    ,2026-07-10
05575,Vidiago,43.3964700,-4.6730000,2                                                                                                                 ,2026-07-10
05577,Pendueles,43.3928300,-4.6303900,2                                                                                                               ,2026-07-10
05579,Colombres,43.3827200,-4.5570900,2                                                                                                               ,2026-07-10
05602,Valdecilla la Marga,43.4529465,-3.8282409,2                                                                                                     ,2026-07-10
05603,Cazoña,43.4551542,-3.8411637,2                                                                                                                  ,2026-07-10
05604,Adarzo,43.4534716,-3.8559044,2                                                                                                                  ,2026-07-10
05605,Bezana,43.4408549,-3.8995921,2                                                                                                                  ,2026-07-10
05607,Mortera,43.4352343,-3.9182532,2                                                                                                                 ,2026-07-10
05609,Boo de Piélagos,43.4316558,-3.9463107,2                                                                                                         ,2026-07-10
05611,Mogro,43.4248932,-3.9605163,2                                                                                                                   ,2026-07-10
05613,Gornazo,43.4097025,-3.9886035,2                                                                                                                 ,2026-07-10
05615,Mar,43.3984063,-4.0100059,2                                                                                                                     ,2026-07-10
05617,Requejada,43.3914179,-4.0280246,2                                                                                                               ,2026-07-10
05619,Barreda,43.3742833,-4.0418972,2                                                                                                                 ,2026-07-10
05620,Altamira,43.3519196,-4.0569699,2                                                                                                                ,2026-07-10
05621,Torrelavega-Centro,43.3510014,-4.0511789,2                                                                                                      ,2026-07-10
05622,Ganzo,43.3565281,-4.0702273,2                                                                                                                   ,2026-07-10
05623,Puente San Miguel,43.3586724,-4.0877667,2                                                                                                       ,2026-07-10
05625,Santa Isabel de Quijas,43.3590101,-4.1118533,2                                                                                                  ,2026-07-10
05627,San Pedro de Rudagüera,43.3611587,-4.1495281,2                                                                                                  ,2026-07-10
05629,Golbardo,43.3408164,-4.1556282,2                                                                                                                ,2026-07-10
05631,Casar de Periedo,43.3387837,-4.1747310,2                                                                                                        ,2026-07-10
05633,Virgen de la Peña,43.3230394,-4.1934840,2                                                                                                       ,2026-07-10
05635,Ontoria,43.3153337,-4.2154219,2                                                                                                                 ,2026-07-10
05637,Cabezón de la Sal,43.3079038,-4.2319437,2                                                                                                       ,2026-07-10
05641,Treceño,43.3182800,-4.3090200,2                                                                                                                 ,2026-07-10
05643,Roiz,43.3282100,-4.3492700,2                                                                                                                    ,2026-07-10
05644,El Barcenal,43.340347,-4.383335,2                                                                                                               ,2026-07-10
05645,San Vicente de la Barquera,43.367837,-4.404504,2                                                                                                ,2026-07-10
05647,Pesués,43.370289,-4.480174,2                                                                                                                    ,2026-07-10
05649,Unquera,43.3747800,-4.5143400,2                                                                                                                 ,2026-07-10
05651,Nueva Montaña,43.4401845,-3.8493711,2                                                                                                           ,2026-07-10
05652,Valle Real,43.4275399,-3.8405377,2                                                                                                              ,2026-07-10
05655,Maliaño Vidriera,43.4160163,-3.8411016,2                                                                                                        ,2026-07-10
05657,Astillero,43.4036508,-3.8206798,2                                                                                                               ,2026-07-10
05658,La Cantábrica,43.3973661,-3.8149679,2                                                                                                           ,2026-07-10
05659,San Salvador,43.3937660,-3.8038540,2                                                                                                            ,2026-07-10
05661,Heras,43.4008996,-3.7666376,2                                                                                                                   ,2026-07-10
05663,Orejo,43.3994776,-3.7383974,2                                                                                                                   ,2026-07-10
05665,Solares,43.3872470,-3.7313834,2                                                                                                                 ,2026-07-10
05667,Ceceñas,43.3764924,-3.7181918,2                                                                                                                 ,2026-07-10
05669,La Cavada,43.3506141,-3.7070777,2                                                                                                               ,2026-07-10
05671,Liérganes,43.3450748,-3.7426450,2                                                                                                               ,2026-07-10
05672,Puente Agüero,43.406489,-3.719342,2                                                                                                             ,2026-07-10
05673,Villaverde de Pontones,43.411322,-3.703643,2                                                                                                    ,2026-07-10
