route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     ,download_date
30T0012C3  ,C3  ,Cazalla-Constantina                     -Santa Justa                             ,2,E4242D,FFFFFF                                    ,2025-04-06
30T0013C1  ,C1  ,Utrera                                  -                                        ,2,4C90C3,FFFFFF                                    ,2025-04-06
30T0014C1  ,C1  ,                                        -Utrera                                  ,2,4C90C3,FFFFFF                                    ,2025-04-06
30T0015C1  ,C1  ,Utrera                                  -                                        ,2,4C90C3,FFFFFF                                    ,2025-04-06
30T0016C1  ,C1  ,                                        -Utrera                                  ,2,4C90C3,FFFFFF                                    ,2025-04-06
30T0017C3  ,C3  ,                                        -                                        ,2,E4242D,FFFFFF                                    ,2025-04-06
30T0018C3  ,C3  ,                                        -                                        ,2,E4242D,FFFFFF                                    ,2025-04-06
31T0001C1  ,C1  ,Cádiz                                   -Aeropuerto de Jerez                     ,2,FF1B1F,FFFFFF                                    ,2025-04-06
31T0002C1  ,C1  ,Aeropuerto de Jerez                     -Cádiz                                   ,2,FF1B1F,FFFFFF                                    ,2025-04-06
31T0003C1a ,C1a ,Las Aletas                              -Universidad                             ,2,FF1B1F,FFFFFF                                    ,2025-04-06
31T0004C1a ,C1a ,Universidad                             -Las Aletas                              ,2,FF1B1F,FFFFFF                                    ,2025-04-06
31T0005T1  ,T1  ,Cádiz                                   -Pelagatos                               ,2,00B700,FFFFFF                                    ,2025-04-06
31T0006T1  ,T1  ,Pelagatos                               -Cádiz                                   ,2,00B700,FFFFFF                                    ,2025-04-06
31T0007C1  ,C1  ,Jerez de la Frontera                    -Las Aletas                              ,2,FF1B1F,FFFFFF                                    ,2025-04-06
31T0008C1  ,C1  ,Las Aletas                              -Jerez de la Frontera                    ,2,FF1B1F,FFFFFF                                    ,2025-04-06
31T0009T1  ,T1  ,Río Arillo                              -Alameda Solano                          ,2,00B700,FFFFFF                                    ,2025-04-06
