service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               ,download_date
6153M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
6154X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
6155J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
6156V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
6157S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
6158D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
6159L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
6160M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
6161X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
6162J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
6163V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
6164S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
6165D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
6166L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
6167M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
